
time 01h 32m 10s, episodes 121902, frames 14.5M, run loss 357.61
time 01h 33m 10s, episodes 123202, frames 14.6M, run loss 357.20
time 01h 34m 10s, episodes 124526, frames 14.8M, run loss 353.33
time 01h 35m 10s, episodes 125841, frames 15.0M, run loss 356.98
time 01h 36m 10s, episodes 127165, frames 15.1M, run loss 359.75
time 01h 37m 10s, episodes 128464, frames 15.3M, run loss 360.38
time 01h 38m 10s, episodes 129768, frames 15.4M, run loss 349.61
time 01h 39m 11s, episodes 131096, frames 15.6M, run loss 359.01
time 01h 40m 11s, episodes 132414, frames 15.7M, run loss 360.43
time 01h 41m 11s, episodes 133730, frames 15.9M, run loss 362.41

	16M frames: saved model

time 01h 42m 11s, episodes 135050, frames 16.1M, run loss 357.19
time 01h 43m 11s, episodes 136363, frames 16.2M, run loss 356.62
time 01h 44m 11s, episodes 137680, frames 16.4M, run loss 358.91
time 01h 45m 11s, episodes 138991, frames 16.5M, run loss 352.78
time 01h 46m 11s, episodes 140303, frames 16.7M, run loss 352.96
time 01h 47m 11s, episodes 141616, frames 16.8M, run loss 353.10
time 01h 48m 11s, episodes 142932, frames 17.0M, run loss 352.64
time 01h 49m 11s, episodes 144250, frames 17.2M, run loss 354.15
time 01h 50m 11s, episodes 145569, frames 17.3M, run loss 351.78
time 01h 51m 11s, episodes 146872, frames 17.5M, run loss 360.72
time 01h 52m 11s, episodes 148178, frames 17.6M, run loss 351.39
time 01h 53m 11s, episodes 149483, frames 17.8M, run loss 353.03
time 01h 54m 11s, episodes 150795, frames 17.9M, run loss 359.01

	18M frames: saved model


	18M frames: saved model

time 01h 55m 11s, episodes 152099, frames 18.1M, run loss 358.27
time 01h 56m 11s, episodes 153415, frames 18.2M, run loss 362.68
time 01h 57m 11s, episodes 154730, frames 18.4M, run loss 359.59
time 01h 58m 11s, episodes 156047, frames 18.6M, run loss 361.33
time 01h 59m 11s, episodes 157368, frames 18.7M, run loss 351.87
time 02h 00m 11s, episodes 158659, frames 18.9M, run loss 360.96
time 02h 01m 11s, episodes 159954, frames 19.0M, run loss 359.29
time 02h 02m 11s, episodes 161270, frames 19.2M, run loss 359.77
time 02h 03m 11s, episodes 162567, frames 19.3M, run loss 353.30
time 02h 04m 12s, episodes 163920, frames 19.5M, run loss 354.00
time 02h 05m 12s, episodes 165204, frames 19.6M, run loss 362.31
time 02h 06m 12s, episodes 166525, frames 19.8M, run loss 363.86
time 02h 07m 12s, episodes 167835, frames 20.0M, run loss 352.89

	20M frames: saved model

time 02h 08m 12s, episodes 169158, frames 20.1M, run loss 354.87
time 02h 09m 12s, episodes 170459, frames 20.3M, run loss 363.56
time 02h 10m 12s, episodes 171773, frames 20.4M, run loss 358.29
time 02h 11m 12s, episodes 173105, frames 20.6M, run loss 354.59
time 02h 12m 12s, episodes 174419, frames 20.7M, run loss 354.91
time 02h 13m 12s, episodes 175747, frames 20.9M, run loss 363.25
time 02h 14m 12s, episodes 177041, frames 21.1M, run loss 363.93
time 02h 15m 12s, episodes 178351, frames 21.2M, run loss 357.09
time 02h 16m 12s, episodes 179661, frames 21.4M, run loss 362.11
time 02h 17m 12s, episodes 180985, frames 21.5M, run loss 358.33
time 02h 18m 12s, episodes 182296, frames 21.7M, run loss 358.77
time 02h 19m 13s, episodes 183597, frames 21.8M, run loss 354.66
time 02h 20m 13s, episodes 184896, frames 22.0M, run loss 357.93
time 02h 21m 13s, episodes 186216, frames 22.1M, run loss 353.27
time 02h 22m 13s, episodes 187525, frames 22.3M, run loss 357.21
time 02h 23m 13s, episodes 188825, frames 22.5M, run loss 360.70
time 02h 24m 13s, episodes 190143, frames 22.6M, run loss 352.72
time 02h 25m 13s, episodes 191462, frames 22.8M, run loss 354.97
time 02h 26m 13s, episodes 192765, frames 22.9M, run loss 358.96
time 02h 27m 13s, episodes 194077, frames 23.1M, run loss 356.25
time 02h 28m 13s, episodes 195382, frames 23.2M, run loss 356.18
