
time 01h 19m 39s, episodes 8954, frames 6.4M, mean epr 181.28, run loss 25.55
time 01h 20m 39s, episodes 9074, frames 6.5M, mean epr 173.37, run loss 30.48
time 01h 21m 41s, episodes 9195, frames 6.6M, mean epr 173.31, run loss 32.96
time 01h 22m 41s, episodes 9310, frames 6.7M, mean epr 188.18, run loss 43.05
time 01h 23m 41s, episodes 9433, frames 6.7M, mean epr 179.78, run loss 37.54
time 01h 24m 41s, episodes 9550, frames 6.8M, mean epr 174.56, run loss 38.82
time 01h 25m 41s, episodes 9660, frames 6.9M, mean epr 191.15, run loss 42.79
time 01h 26m 41s, episodes 9777, frames 7.0M, mean epr 182.50, run loss 37.54
time 01h 27m 41s, episodes 9895, frames 7.1M, mean epr 174.52, run loss 33.99
time 01h 28m 41s, episodes 10013, frames 7.2M, mean epr 184.56, run loss 34.48
time 01h 29m 41s, episodes 10134, frames 7.2M, mean epr 182.23, run loss 34.80
time 01h 30m 41s, episodes 10242, frames 7.3M, mean epr 203.27, run loss 40.08
time 01h 31m 41s, episodes 10361, frames 7.4M, mean epr 197.38, run loss 42.89
time 01h 32m 41s, episodes 10472, frames 7.5M, mean epr 200.80, run loss 40.90
time 01h 33m 41s, episodes 10587, frames 7.6M, mean epr 181.74, run loss 33.82
time 01h 34m 41s, episodes 10707, frames 7.7M, mean epr 167.44, run loss 24.10
time 01h 35m 42s, episodes 10823, frames 7.7M, mean epr 178.84, run loss 30.02
time 01h 36m 42s, episodes 10942, frames 7.8M, mean epr 171.69, run loss 27.55
time 01h 37m 42s, episodes 11064, frames 7.9M, mean epr 184.47, run loss 35.50
time 01h 38m 42s, episodes 11178, frames 8.0M, mean epr 191.79, run loss 41.29

	8M frames: saved model

time 01h 39m 42s, episodes 11288, frames 8.1M, mean epr 190.86, run loss 39.91
time 01h 40m 42s, episodes 11402, frames 8.2M, mean epr 199.82, run loss 44.13
time 01h 41m 42s, episodes 11518, frames 8.2M, mean epr 195.34, run loss 44.44
time 01h 42m 42s, episodes 11635, frames 8.3M, mean epr 181.30, run loss 42.98
time 01h 43m 42s, episodes 11752, frames 8.4M, mean epr 187.71, run loss 43.32
time 01h 44m 42s, episodes 11870, frames 8.5M, mean epr 176.92, run loss 37.59
time 01h 45m 42s, episodes 11986, frames 8.6M, mean epr 189.77, run loss 41.94
time 01h 52m 21s, episodes 12707, frames 9.1M, mean epr 174.94, run loss 37.56
time 01h 53m 21s, episodes 12828, frames 9.2M, mean epr 182.37, run loss 41.31
time 01h 54m 21s, episodes 12946, frames 9.2M, mean epr 190.08, run loss 46.73
time 01h 55m 21s, episodes 13055, frames 9.3M, mean epr 212.79, run loss 51.79
time 01h 56m 21s, episodes 13176, frames 9.4M, mean epr 195.43, run loss 44.74
time 01h 57m 21s, episodes 13292, frames 9.5M, mean epr 188.48, run loss 44.24
time 01h 58m 21s, episodes 13408, frames 9.6M, mean epr 189.55, run loss 48.95
time 01h 59m 21s, episodes 13522, frames 9.7M, mean epr 192.27, run loss 46.24
time 02h 00m 21s, episodes 13632, frames 9.7M, mean epr 198.74, run loss 42.73
time 02h 01m 21s, episodes 13751, frames 9.8M, mean epr 190.54, run loss 47.76
time 02h 02m 21s, episodes 13865, frames 9.9M, mean epr 188.15, run loss 55.89
time 02h 03m 21s, episodes 13979, frames 10.0M, mean epr 184.18, run loss 47.29

	10M frames: saved model

time 02h 04m 21s, episodes 14101, frames 10.1M, mean epr 175.93, run loss 35.81
time 02h 06m 28s, episodes 14329, frames 10.2M, mean epr 207.72, run loss 45.33
time 02h 07m 28s, episodes 14447, frames 10.3M, mean epr 180.11, run loss 42.79
time 02h 08m 28s, episodes 14565, frames 10.4M, mean epr 185.56, run loss 41.79
time 02h 09m 28s, episodes 14696, frames 10.5M, mean epr 162.75, run loss 25.60
time 02h 10m 28s, episodes 14816, frames 10.6M, mean epr 171.04, run loss 30.18
time 02h 11m 28s, episodes 14936, frames 10.7M, mean epr 169.85, run loss 31.89
time 02h 12m 28s, episodes 15048, frames 10.7M, mean epr 190.47, run loss 46.01
time 02h 13m 28s, episodes 15160, frames 10.8M, mean epr 212.13, run loss 47.32
time 02h 14m 28s, episodes 15272, frames 10.9M, mean epr 193.17, run loss 37.95
time 02h 15m 28s, episodes 15392, frames 11.0M, mean epr 177.73, run loss 27.06
time 02h 16m 28s, episodes 15511, frames 11.1M, mean epr 185.66, run loss 31.63
time 02h 17m 28s, episodes 15628, frames 11.2M, mean epr 201.62, run loss 43.66
time 02h 18m 28s, episodes 15740, frames 11.2M, mean epr 193.82, run loss 46.47
time 02h 19m 29s, episodes 15865, frames 11.3M, mean epr 174.65, run loss 42.56
time 02h 20m 29s, episodes 15982, frames 11.4M, mean epr 180.44, run loss 45.14
time 02h 21m 29s, episodes 16097, frames 11.5M, mean epr 191.31, run loss 40.26
time 02h 22m 29s, episodes 16212, frames 11.6M, mean epr 202.66, run loss 43.45
time 02h 23m 29s, episodes 16326, frames 11.7M, mean epr 200.59, run loss 44.66
time 02h 24m 29s, episodes 16441, frames 11.7M, mean epr 201.55, run loss 46.73
time 02h 25m 29s, episodes 16554, frames 11.8M, mean epr 202.42, run loss 43.38
time 02h 26m 29s, episodes 16675, frames 11.9M, mean epr 188.50, run loss 43.64
time 02h 27m 29s, episodes 16791, frames 12.0M, mean epr 185.55, run loss 44.36

	12M frames: saved model

time 02h 28m 29s, episodes 16907, frames 12.1M, mean epr 191.35, run loss 43.64
time 02h 29m 29s, episodes 17013, frames 12.2M, mean epr 205.12, run loss 40.46
time 02h 30m 29s, episodes 17124, frames 12.2M, mean epr 215.22, run loss 48.07
time 02h 31m 33s, episodes 17250, frames 12.3M, mean epr 196.87, run loss 37.29
time 02h 32m 33s, episodes 17370, frames 12.4M, mean epr 195.20, run loss 39.95
time 02h 33m 33s, episodes 17494, frames 12.5M, mean epr 181.61, run loss 34.26
time 02h 34m 33s, episodes 17604, frames 12.6M, mean epr 193.92, run loss 43.91
time 02h 35m 33s, episodes 17713, frames 12.7M, mean epr 228.45, run loss 54.83
time 02h 36m 33s, episodes 17830, frames 12.7M, mean epr 208.34, run loss 42.06
time 02h 37m 33s, episodes 17934, frames 12.8M, mean epr 215.14, run loss 52.74
time 02h 38m 33s, episodes 18048, frames 12.9M, mean epr 202.76, run loss 43.21
time 02h 39m 33s, episodes 18159, frames 13.0M, mean epr 210.86, run loss 45.50
time 02h 40m 33s, episodes 18267, frames 13.1M, mean epr 226.17, run loss 57.25
time 02h 41m 34s, episodes 18383, frames 13.2M, mean epr 205.76, run loss 47.52
time 02h 42m 34s, episodes 18497, frames 13.2M, mean epr 218.89, run loss 48.25
time 02h 43m 34s, episodes 18607, frames 13.3M, mean epr 222.53, run loss 52.09
time 02h 44m 36s, episodes 18722, frames 13.4M, mean epr 213.74, run loss 54.84
time 02h 45m 36s, episodes 18835, frames 13.5M, mean epr 209.57, run loss 53.90
time 02h 46m 36s, episodes 18943, frames 13.6M, mean epr 227.83, run loss 55.77
time 02h 47m 36s, episodes 19056, frames 13.7M, mean epr 207.52, run loss 49.65
time 02h 48m 36s, episodes 19170, frames 13.7M, mean epr 209.70, run loss 53.57
time 02h 49m 36s, episodes 19285, frames 13.8M, mean epr 210.64, run loss 55.56
time 02h 50m 36s, episodes 19409, frames 13.9M, mean epr 187.46, run loss 46.92
