
time 01h 15m 04s, episodes 1946, frames 4.8M, mean epr -7.58, run loss -33.10
time 01h 16m 04s, episodes 1954, frames 4.9M, mean epr -7.40, run loss -32.62
time 01h 17m 04s, episodes 1965, frames 4.9M, mean epr -7.19, run loss -35.99
time 01h 18m 04s, episodes 1980, frames 5.0M, mean epr -6.96, run loss -38.23
time 01h 19m 05s, episodes 1992, frames 5.1M, mean epr -6.83, run loss -39.30
time 01h 20m 05s, episodes 2000, frames 5.1M, mean epr -6.85, run loss -41.42
time 01h 21m 05s, episodes 2011, frames 5.2M, mean epr -6.78, run loss -40.81
time 01h 22m 05s, episodes 2025, frames 5.3M, mean epr -6.84, run loss -40.11
time 01h 23m 05s, episodes 2034, frames 5.3M, mean epr -6.99, run loss -42.11
time 01h 24m 05s, episodes 2045, frames 5.4M, mean epr -6.66, run loss -40.49
time 01h 25m 05s, episodes 2055, frames 5.5M, mean epr -6.42, run loss -42.29
time 01h 26m 05s, episodes 2066, frames 5.5M, mean epr -5.78, run loss -40.59
time 01h 27m 05s, episodes 2077, frames 5.6M, mean epr -5.62, run loss -43.21
time 01h 28m 05s, episodes 2088, frames 5.6M, mean epr -5.56, run loss -45.41
time 01h 29m 06s, episodes 2099, frames 5.7M, mean epr -5.51, run loss -45.19
time 01h 30m 06s, episodes 2110, frames 5.8M, mean epr -5.27, run loss -44.40
time 01h 31m 06s, episodes 2120, frames 5.8M, mean epr -4.96, run loss -41.76
time 01h 32m 06s, episodes 2127, frames 5.9M, mean epr -5.00, run loss -44.60
time 01h 33m 06s, episodes 2142, frames 6.0M, mean epr -4.68, run loss -45.17

	6M frames: saved model

time 01h 34m 06s, episodes 2151, frames 6.0M, mean epr -4.75, run loss -47.39
time 01h 35m 06s, episodes 2160, frames 6.1M, mean epr -4.71, run loss -49.17
time 01h 36m 06s, episodes 2173, frames 6.2M, mean epr -4.17, run loss -48.86
time 01h 37m 06s, episodes 2182, frames 6.2M, mean epr -4.18, run loss -49.92
time 01h 38m 06s, episodes 2193, frames 6.3M, mean epr -4.16, run loss -50.91
time 01h 39m 06s, episodes 2206, frames 6.3M, mean epr -3.93, run loss -48.91
time 01h 40m 06s, episodes 2212, frames 6.4M, mean epr -3.94, run loss -49.88
time 01h 41m 06s, episodes 2225, frames 6.5M, mean epr -3.91, run loss -50.26
time 01h 42m 06s, episodes 2234, frames 6.5M, mean epr -3.90, run loss -52.07
time 01h 43m 07s, episodes 2243, frames 6.6M, mean epr -3.46, run loss -52.72
time 01h 44m 07s, episodes 2254, frames 6.7M, mean epr -3.41, run loss -51.68
time 01h 45m 07s, episodes 2262, frames 6.7M, mean epr -3.13, run loss -51.23
time 01h 46m 07s, episodes 2272, frames 6.8M, mean epr -2.80, run loss -53.53
time 01h 47m 07s, episodes 2285, frames 6.9M, mean epr -2.92, run loss -53.73
time 01h 48m 07s, episodes 2297, frames 6.9M, mean epr -2.87, run loss -53.84
time 01h 49m 07s, episodes 2305, frames 7.0M, mean epr -2.77, run loss -54.78
time 01h 50m 07s, episodes 2315, frames 7.1M, mean epr -2.60, run loss -54.64
time 01h 51m 07s, episodes 2326, frames 7.1M, mean epr -2.23, run loss -52.32
time 01h 52m 07s, episodes 2338, frames 7.2M, mean epr -1.79, run loss -52.93
