
time 01h 14m 39s, episodes 38753, frames 5.8M, mean epr -14.49, run loss 54.39
time 01h 15m 39s, episodes 39272, frames 5.9M, mean epr -14.57, run loss 51.62
time 01h 16m 39s, episodes 39792, frames 5.9M, mean epr -14.48, run loss 45.77

	6M frames: saved model

time 01h 17m 39s, episodes 40320, frames 6.0M, mean epr -14.38, run loss 38.73
time 01h 18m 39s, episodes 40834, frames 6.1M, mean epr -14.44, run loss 38.59
time 01h 19m 39s, episodes 41349, frames 6.2M, mean epr -14.19, run loss 50.89
time 01h 20m 39s, episodes 41878, frames 6.2M, mean epr -14.30, run loss 54.88
time 01h 21m 39s, episodes 42389, frames 6.3M, mean epr -14.68, run loss 49.04
time 01h 22m 39s, episodes 42908, frames 6.4M, mean epr -14.60, run loss 46.75
time 01h 23m 39s, episodes 43430, frames 6.5M, mean epr -14.52, run loss 57.23
time 01h 24m 40s, episodes 43951, frames 6.6M, mean epr -14.66, run loss 61.32
time 01h 25m 40s, episodes 44467, frames 6.6M, mean epr -14.52, run loss 63.03
time 01h 26m 40s, episodes 44993, frames 6.7M, mean epr -14.37, run loss 51.22
time 01h 27m 40s, episodes 45507, frames 6.8M, mean epr -14.62, run loss 54.99
time 01h 28m 41s, episodes 46032, frames 6.9M, mean epr -14.58, run loss 40.05
time 01h 29m 41s, episodes 46560, frames 6.9M, mean epr -14.64, run loss 28.28
time 01h 30m 41s, episodes 47077, frames 7.0M, mean epr -14.55, run loss 31.12
time 01h 31m 46s, episodes 47632, frames 7.1M, mean epr -14.60, run loss 25.77
time 01h 32m 46s, episodes 48149, frames 7.2M, mean epr -14.67, run loss 24.97
time 01h 33m 46s, episodes 48664, frames 7.3M, mean epr -14.41, run loss 27.69
time 01h 34m 46s, episodes 49181, frames 7.3M, mean epr -14.54, run loss 26.57
time 01h 35m 46s, episodes 49703, frames 7.4M, mean epr -14.61, run loss 27.85
time 01h 36m 46s, episodes 50217, frames 7.5M, mean epr -14.52, run loss 24.47
time 01h 37m 46s, episodes 50740, frames 7.6M, mean epr -14.38, run loss 19.29
time 01h 38m 46s, episodes 51250, frames 7.6M, mean epr -14.66, run loss 18.34
time 01h 39m 46s, episodes 51768, frames 7.7M, mean epr -14.55, run loss 19.21
time 01h 40m 49s, episodes 52301, frames 7.8M, mean epr -14.63, run loss 19.41
time 01h 41m 50s, episodes 52819, frames 7.9M, mean epr -14.47, run loss 19.81
time 01h 42m 50s, episodes 53329, frames 8.0M, mean epr -14.30, run loss 23.47

	8M frames: saved model

time 01h 43m 50s, episodes 53858, frames 8.0M, mean epr -14.60, run loss 20.77
time 01h 44m 51s, episodes 54377, frames 8.1M, mean epr -14.61, run loss 16.76
time 01h 45m 51s, episodes 54895, frames 8.2M, mean epr -14.54, run loss 29.35
time 01h 46m 51s, episodes 55416, frames 8.3M, mean epr -14.53, run loss 28.17
time 01h 47m 51s, episodes 55938, frames 8.3M, mean epr -14.62, run loss 24.90
time 01h 48m 51s, episodes 56455, frames 8.4M, mean epr -14.59, run loss 35.38
time 01h 49m 51s, episodes 56982, frames 8.5M, mean epr -14.51, run loss 27.84
time 01h 50m 51s, episodes 57496, frames 8.6M, mean epr -14.44, run loss 39.40
time 01h 51m 53s, episodes 58026, frames 8.7M, mean epr -14.51, run loss 19.91
time 01h 52m 53s, episodes 58546, frames 8.7M, mean epr -14.53, run loss 23.13
time 01h 53m 53s, episodes 59064, frames 8.8M, mean epr -14.62, run loss 19.70
time 01h 54m 54s, episodes 59581, frames 8.9M, mean epr -14.50, run loss 16.19
time 01h 55m 54s, episodes 60093, frames 9.0M, mean epr -14.65, run loss 18.50
time 01h 56m 54s, episodes 60609, frames 9.0M, mean epr -14.46, run loss 20.44
time 01h 57m 54s, episodes 61118, frames 9.1M, mean epr -14.55, run loss 18.88
time 01h 58m 54s, episodes 61639, frames 9.2M, mean epr -14.42, run loss 15.31
time 01h 59m 54s, episodes 62166, frames 9.3M, mean epr -14.52, run loss 14.09
time 02h 00m 54s, episodes 62692, frames 9.3M, mean epr -14.62, run loss 26.27
time 02h 01m 54s, episodes 63211, frames 9.4M, mean epr -14.61, run loss 37.77
time 02h 02m 55s, episodes 63736, frames 9.5M, mean epr -14.58, run loss 28.23
time 02h 03m 55s, episodes 64257, frames 9.6M, mean epr -14.49, run loss 29.35
time 02h 04m 55s, episodes 64767, frames 9.7M, mean epr -14.60, run loss 28.44
time 02h 05m 55s, episodes 65285, frames 9.7M, mean epr -14.63, run loss 51.49
time 02h 06m 55s, episodes 65807, frames 9.8M, mean epr -14.64, run loss 47.10
time 02h 07m 55s, episodes 66320, frames 9.9M, mean epr -14.48, run loss 56.30
time 02h 08m 56s, episodes 66842, frames 10.0M, mean epr -14.51, run loss 40.10

	10M frames: saved model

time 02h 09m 58s, episodes 67381, frames 10.0M, mean epr -14.52, run loss 35.51
time 02h 11m 01s, episodes 67917, frames 10.1M, mean epr -14.66, run loss 40.85
time 02h 12m 01s, episodes 68438, frames 10.2M, mean epr -14.65, run loss 47.84
time 02h 13m 01s, episodes 68950, frames 10.3M, mean epr -14.64, run loss 39.71
time 02h 14m 01s, episodes 69463, frames 10.4M, mean epr -14.48, run loss 37.43
time 02h 15m 02s, episodes 69987, frames 10.4M, mean epr -14.35, run loss 23.33
time 02h 16m 02s, episodes 70503, frames 10.5M, mean epr -14.66, run loss 32.57
time 02h 17m 02s, episodes 71015, frames 10.6M, mean epr -14.61, run loss 42.39
time 02h 18m 02s, episodes 71530, frames 10.7M, mean epr -14.67, run loss 43.13
time 02h 19m 03s, episodes 72057, frames 10.7M, mean epr -14.16, run loss 41.09
time 02h 20m 03s, episodes 72570, frames 10.8M, mean epr -14.68, run loss 58.81
time 02h 21m 03s, episodes 73097, frames 10.9M, mean epr -14.62, run loss 47.32
time 02h 22m 04s, episodes 73610, frames 11.0M, mean epr -14.61, run loss 53.84
time 02h 23m 04s, episodes 74126, frames 11.1M, mean epr -14.52, run loss 44.96
time 02h 24m 04s, episodes 74639, frames 11.1M, mean epr -14.45, run loss 60.01
time 02h 25m 04s, episodes 75150, frames 11.2M, mean epr -14.43, run loss 55.80
time 02h 26m 04s, episodes 75664, frames 11.3M, mean epr -14.31, run loss 43.09
time 02h 27m 04s, episodes 76189, frames 11.4M, mean epr -14.56, run loss 71.74
time 02h 28m 04s, episodes 76716, frames 11.4M, mean epr -14.49, run loss 88.92
time 02h 29m 04s, episodes 77236, frames 11.5M, mean epr -14.56, run loss 75.88
time 02h 30m 05s, episodes 77759, frames 11.6M, mean epr -14.58, run loss 65.88
time 02h 31m 05s, episodes 78282, frames 11.7M, mean epr -14.37, run loss 55.96
time 02h 32m 05s, episodes 78796, frames 11.7M, mean epr -14.55, run loss 58.78
time 02h 33m 05s, episodes 79310, frames 11.8M, mean epr -14.57, run loss 70.26
time 02h 34m 06s, episodes 79841, frames 11.9M, mean epr -14.66, run loss 82.00
time 02h 35m 07s, episodes 80367, frames 12.0M, mean epr -14.47, run loss 90.67

	12M frames: saved model

time 02h 36m 07s, episodes 80883, frames 12.1M, mean epr -14.56, run loss 83.94
time 02h 37m 08s, episodes 81405, frames 12.1M, mean epr -14.61, run loss 83.08
time 02h 38m 08s, episodes 81922, frames 12.2M, mean epr -14.36, run loss 82.99
time 02h 39m 08s, episodes 82440, frames 12.3M, mean epr -14.58, run loss 83.65
time 02h 40m 08s, episodes 82952, frames 12.4M, mean epr -14.66, run loss 71.06
time 02h 41m 08s, episodes 83468, frames 12.4M, mean epr -14.38, run loss 76.87
time 02h 42m 08s, episodes 83988, frames 12.5M, mean epr -14.55, run loss 69.82
time 02h 43m 08s, episodes 84512, frames 12.6M, mean epr -14.60, run loss 80.80
time 02h 44m 08s, episodes 85033, frames 12.7M, mean epr -14.48, run loss 80.41
time 02h 45m 08s, episodes 85545, frames 12.8M, mean epr -14.48, run loss 56.27
time 02h 46m 08s, episodes 86065, frames 12.8M, mean epr -14.57, run loss 50.96
time 02h 47m 10s, episodes 86596, frames 12.9M, mean epr -14.61, run loss 56.97
time 02h 48m 10s, episodes 87109, frames 13.0M, mean epr -14.61, run loss 47.96
time 02h 49m 10s, episodes 87627, frames 13.1M, mean epr -14.01, run loss 52.77
time 02h 50m 10s, episodes 88140, frames 13.1M, mean epr -14.55, run loss 67.11
time 02h 51m 10s, episodes 88652, frames 13.2M, mean epr -14.58, run loss 56.73
time 02h 52m 10s, episodes 89170, frames 13.3M, mean epr -14.58, run loss 70.25
time 02h 53m 10s, episodes 89697, frames 13.4M, mean epr -14.25, run loss 64.55
time 02h 54m 11s, episodes 90218, frames 13.5M, mean epr -14.64, run loss 62.96
time 02h 55m 11s, episodes 90727, frames 13.5M, mean epr -14.59, run loss 65.57
time 02h 56m 11s, episodes 91250, frames 13.6M, mean epr -14.61, run loss 68.91
time 02h 57m 11s, episodes 91772, frames 13.7M, mean epr -14.50, run loss 70.21
time 02h 58m 11s, episodes 92272, frames 13.8M, mean epr -14.63, run loss 90.42
time 02h 59m 11s, episodes 92787, frames 13.8M, mean epr -14.61, run loss 94.89
time 03h 00m 11s, episodes 93306, frames 13.9M, mean epr -14.59, run loss 68.12
time 03h 01m 11s, episodes 93827, frames 14.0M, mean epr -14.51, run loss 89.05

	14M frames: saved model

time 03h 02m 11s, episodes 94343, frames 14.1M, mean epr -14.62, run loss 101.85
time 03h 03m 11s, episodes 94862, frames 14.1M, mean epr -14.56, run loss 114.43
time 03h 04m 11s, episodes 95373, frames 14.2M, mean epr -14.37, run loss 95.39
time 03h 05m 11s, episodes 95887, frames 14.3M, mean epr -14.59, run loss 96.48
time 03h 06m 11s, episodes 96411, frames 14.4M, mean epr -14.51, run loss 84.10
time 03h 07m 11s, episodes 96929, frames 14.5M, mean epr -14.47, run loss 83.96
time 03h 08m 11s, episodes 97444, frames 14.5M, mean epr -14.55, run loss 80.31
time 03h 09m 11s, episodes 97966, frames 14.6M, mean epr -14.49, run loss 62.24
time 03h 10m 11s, episodes 98476, frames 14.7M, mean epr -14.60, run loss 70.14
time 03h 11m 11s, episodes 99002, frames 14.8M, mean epr -13.78, run loss 54.82
time 03h 12m 11s, episodes 99523, frames 14.8M, mean epr -14.24, run loss 57.08
time 03h 13m 11s, episodes 100044, frames 14.9M, mean epr -14.56, run loss 34.52
time 03h 14m 12s, episodes 100571, frames 15.0M, mean epr -14.59, run loss 43.45
time 03h 15m 12s, episodes 101078, frames 15.1M, mean epr -14.60, run loss 40.42
time 03h 16m 12s, episodes 101594, frames 15.1M, mean epr -14.51, run loss 33.13
time 03h 17m 12s, episodes 102107, frames 15.2M, mean epr -14.55, run loss 16.29
time 03h 18m 14s, episodes 102652, frames 15.3M, mean epr -14.64, run loss 12.84
time 03h 19m 14s, episodes 103174, frames 15.4M, mean epr -14.34, run loss 16.10
time 03h 20m 14s, episodes 103685, frames 15.5M, mean epr -14.57, run loss 16.22
time 03h 21m 19s, episodes 104246, frames 15.5M, mean epr -14.56, run loss 36.22
