
time 00h 38m 18s, episodes 2818, frames 0.1M, mean epr 1.84, run loss 251.00, shares of one box (0.94), two boxes (0.71) and three boxes(0.30) pushed on target, difficulty: 4.0
time 00h 39m 18s, episodes 2893, frames 0.1M, mean epr 2.22, run loss 324.05, shares of one box (0.94), two boxes (0.68) and three boxes(0.33) pushed on target, difficulty: 4.0
time 00h 40m 18s, episodes 2966, frames 0.1M, mean epr 1.74, run loss 286.66, shares of one box (0.94), two boxes (0.67) and three boxes(0.30) pushed on target, difficulty: 4.0
time 00h 41m 19s, episodes 3037, frames 0.1M, mean epr 1.15, run loss 237.13, shares of one box (0.93), two boxes (0.64) and three boxes(0.25) pushed on target, difficulty: 4.0
time 00h 42m 24s, episodes 3116, frames 0.1M, mean epr 1.89, run loss 300.86, shares of one box (0.91), two boxes (0.64) and three boxes(0.31) pushed on target, difficulty: 4.0
time 00h 43m 29s, episodes 3196, frames 0.1M, mean epr 1.94, run loss 324.60, shares of one box (0.91), two boxes (0.69) and three boxes(0.31) pushed on target, difficulty: 4.0
time 00h 44m 29s, episodes 3266, frames 0.1M, mean epr 1.31, run loss 251.65, shares of one box (0.88), two boxes (0.67) and three boxes(0.27) pushed on target, difficulty: 4.0
time 00h 45m 29s, episodes 3343, frames 0.1M, mean epr 1.54, run loss 254.35, shares of one box (0.91), two boxes (0.66) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 46m 31s, episodes 3418, frames 0.1M, mean epr 1.50, run loss 269.15, shares of one box (0.89), two boxes (0.62) and three boxes(0.28) pushed on target, difficulty: 4.0
time 00h 47m 36s, episodes 3490, frames 0.1M, mean epr 1.96, run loss 285.00, shares of one box (0.91), two boxes (0.67) and three boxes(0.32) pushed on target, difficulty: 4.0
time 00h 48m 36s, episodes 3563, frames 0.1M, mean epr 2.01, run loss 308.14, shares of one box (0.87), two boxes (0.65) and three boxes(0.32) pushed on target, difficulty: 4.0
time 00h 49m 41s, episodes 3650, frames 0.1M, mean epr 2.13, run loss 319.41, shares of one box (0.85), two boxes (0.65) and three boxes(0.34) pushed on target, difficulty: 4.0
time 00h 50m 44s, episodes 3739, frames 0.1M, mean epr 2.19, run loss 306.53, shares of one box (0.88), two boxes (0.67) and three boxes(0.33) pushed on target, difficulty: 4.0
time 00h 51m 44s, episodes 3825, frames 0.1M, mean epr 1.92, run loss 264.98, shares of one box (0.89), two boxes (0.65) and three boxes(0.31) pushed on target, difficulty: 4.0
time 00h 52m 49s, episodes 3913, frames 0.1M, mean epr 2.33, run loss 315.35, shares of one box (0.93), two boxes (0.66) and three boxes(0.34) pushed on target, difficulty: 4.0
time 00h 53m 52s, episodes 3984, frames 0.1M, mean epr 2.57, run loss 360.96, shares of one box (0.92), two boxes (0.67) and three boxes(0.36) pushed on target, difficulty: 4.0
time 00h 54m 52s, episodes 4055, frames 0.1M, mean epr 2.28, run loss 352.13, shares of one box (0.89), two boxes (0.66) and three boxes(0.34) pushed on target, difficulty: 4.0
time 00h 55m 57s, episodes 4124, frames 0.1M, mean epr 1.32, run loss 269.69, shares of one box (0.89), two boxes (0.64) and three boxes(0.27) pushed on target, difficulty: 4.0
time 00h 57m 00s, episodes 4192, frames 0.1M, mean epr 1.06, run loss 240.17, shares of one box (0.89), two boxes (0.67) and three boxes(0.25) pushed on target, difficulty: 4.0
time 00h 58m 01s, episodes 4266, frames 0.1M, mean epr 1.75, run loss 258.58, shares of one box (0.92), two boxes (0.69) and three boxes(0.29) pushed on target, difficulty: 4.0
time 00h 59m 06s, episodes 4341, frames 0.1M, mean epr 1.52, run loss 282.60, shares of one box (0.93), two boxes (0.64) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 00m 08s, episodes 4414, frames 0.1M, mean epr 1.71, run loss 272.28, shares of one box (0.93), two boxes (0.63) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 01m 10s, episodes 4486, frames 0.1M, mean epr 2.05, run loss 308.99, shares of one box (0.91), two boxes (0.64) and three boxes(0.32) pushed on target, difficulty: 4.0
time 01h 02m 12s, episodes 4560, frames 0.1M, mean epr 1.81, run loss 281.38, shares of one box (0.91), two boxes (0.61) and three boxes(0.31) pushed on target, difficulty: 4.0
time 01h 03m 12s, episodes 4630, frames 0.1M, mean epr 1.96, run loss 303.00, shares of one box (0.89), two boxes (0.59) and three boxes(0.32) pushed on target, difficulty: 4.0
time 01h 04m 17s, episodes 4699, frames 0.1M, mean epr 1.18, run loss 266.34, shares of one box (0.89), two boxes (0.58) and three boxes(0.26) pushed on target, difficulty: 4.0
time 01h 05m 19s, episodes 4768, frames 0.1M, mean epr 1.05, run loss 260.75, shares of one box (0.92), two boxes (0.57) and three boxes(0.25) pushed on target, difficulty: 4.0
time 01h 06m 19s, episodes 4834, frames 0.2M, mean epr 1.21, run loss 258.23, shares of one box (0.91), two boxes (0.61) and three boxes(0.26) pushed on target, difficulty: 4.0
time 01h 07m 20s, episodes 4901, frames 0.2M, mean epr 1.29, run loss 267.79, shares of one box (0.90), two boxes (0.65) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 08m 23s, episodes 4976, frames 0.2M, mean epr 1.69, run loss 276.93, shares of one box (0.91), two boxes (0.70) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 09m 26s, episodes 5050, frames 0.2M, mean epr 1.49, run loss 246.45, shares of one box (0.90), two boxes (0.68) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 10m 32s, episodes 5125, frames 0.2M, mean epr 1.72, run loss 269.96, shares of one box (0.90), two boxes (0.72) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 11m 32s, episodes 5194, frames 0.2M, mean epr 1.35, run loss 279.51, shares of one box (0.91), two boxes (0.64) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 12m 34s, episodes 5260, frames 0.2M, mean epr 1.43, run loss 303.19, shares of one box (0.93), two boxes (0.62) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 13m 37s, episodes 5330, frames 0.2M, mean epr 1.53, run loss 271.77, shares of one box (0.93), two boxes (0.62) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 14m 41s, episodes 5404, frames 0.2M, mean epr 1.34, run loss 262.65, shares of one box (0.91), two boxes (0.65) and three boxes(0.27) pushed on target, difficulty: 4.0
time 01h 15m 41s, episodes 5474, frames 0.2M, mean epr 1.59, run loss 221.24, shares of one box (0.90), two boxes (0.65) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 16m 41s, episodes 5544, frames 0.2M, mean epr 1.72, run loss 233.98, shares of one box (0.94), two boxes (0.70) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 17m 47s, episodes 5619, frames 0.2M, mean epr 1.49, run loss 300.31, shares of one box (0.91), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 18m 53s, episodes 5699, frames 0.2M, mean epr 2.43, run loss 318.39, shares of one box (0.93), two boxes (0.70) and three boxes(0.35) pushed on target, difficulty: 4.0
time 01h 19m 56s, episodes 5777, frames 0.2M, mean epr 2.19, run loss 292.40, shares of one box (0.93), two boxes (0.69) and three boxes(0.33) pushed on target, difficulty: 4.0
time 01h 20m 56s, episodes 5845, frames 0.2M, mean epr 1.74, run loss 299.34, shares of one box (0.92), two boxes (0.69) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 22m 02s, episodes 5925, frames 0.2M, mean epr 1.61, run loss 304.56, shares of one box (0.90), two boxes (0.67) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 23m 07s, episodes 6004, frames 0.2M, mean epr 2.36, run loss 338.31, shares of one box (0.92), two boxes (0.70) and three boxes(0.34) pushed on target, difficulty: 4.0
time 01h 24m 12s, episodes 6078, frames 0.2M, mean epr 1.62, run loss 259.94, shares of one box (0.89), two boxes (0.65) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 25m 17s, episodes 6152, frames 0.2M, mean epr 1.64, run loss 310.56, shares of one box (0.92), two boxes (0.67) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 26m 17s, episodes 6224, frames 0.2M, mean epr 1.34, run loss 255.30, shares of one box (0.93), two boxes (0.70) and three boxes(0.26) pushed on target, difficulty: 4.0
time 01h 27m 18s, episodes 6296, frames 0.2M, mean epr 1.71, run loss 260.50, shares of one box (0.92), two boxes (0.67) and three boxes(0.29) pushed on target, difficulty: 4.0
time 01h 28m 21s, episodes 6367, frames 0.2M, mean epr 1.43, run loss 278.55, shares of one box (0.89), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 29m 21s, episodes 6434, frames 0.2M, mean epr 1.75, run loss 326.59, shares of one box (0.92), two boxes (0.62) and three boxes(0.30) pushed on target, difficulty: 4.0
time 01h 30m 21s, episodes 6504, frames 0.2M, mean epr 2.11, run loss 313.48, shares of one box (0.94), two boxes (0.67) and three boxes(0.33) pushed on target, difficulty: 4.0
time 01h 31m 23s, episodes 6580, frames 0.2M, mean epr 2.33, run loss 380.69, shares of one box (0.93), two boxes (0.64) and three boxes(0.35) pushed on target, difficulty: 4.0
time 01h 32m 25s, episodes 6650, frames 0.2M, mean epr 1.32, run loss 298.16, shares of one box (0.87), two boxes (0.56) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 33m 25s, episodes 6723, frames 0.2M, mean epr 1.91, run loss 328.81, shares of one box (0.90), two boxes (0.63) and three boxes(0.32) pushed on target, difficulty: 4.0
time 01h 34m 25s, episodes 6793, frames 0.2M, mean epr 2.08, run loss 305.23, shares of one box (0.90), two boxes (0.63) and three boxes(0.33) pushed on target, difficulty: 4.0
time 01h 35m 31s, episodes 6866, frames 0.2M, mean epr 1.47, run loss 260.82, shares of one box (0.91), two boxes (0.63) and three boxes(0.28) pushed on target, difficulty: 4.0
time 01h 36m 31s, episodes 6940, frames 0.2M, mean epr 1.72, run loss 297.70, shares of one box (0.90), two boxes (0.62) and three boxes(0.30) pushed on target, difficulty: 4.0
